GEO,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",127.09,128.84,131.20,134.88,139.09,141.99,144.84,148.12,149.20,147.03
European Union - 27 countries (from 2020),127.77,129.53,131.91,135.60,139.84,142.75,145.62,148.91,150.00,147.82
European Union - 28 countries (2013-2020),0,0,0,0,0,0,0,0,0,0
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",125.65,127.41,129.20,132.72,137.01,139.57,141.81,144.91,146.07,143.57
Euro area – 20 countries (from 2023),125.68,127.45,129.24,132.77,137.05,139.62,141.89,145.01,146.19,143.76
Euro area - 19 countries  (2015-2022),125.65,127.41,129.20,132.72,137.01,139.57,141.81,144.91,146.07,143.57
Belgium,119.62,122.23,123.49,125.71,129.42,129.61,131.47,133.17,136.33,135.76
Bulgaria,138.81,141.23,145.72,146.23,150.90,154.48,162.52,167.58,174.43,175.14
Czechia,155.40,159.50,168.90,177.60,189.80,200.60,210.00,217.20,219.40,214.50
Denmark,126.24,128.98,135.02,138.87,140.44,137.57,140.64,142.51,137.48,128.58
Germany (until 1990 former territory of the FRG),140.30,144.30,146.30,151.80,158.20,162.50,163.20,166.60,165.00,156.70
Estonia,131.08,136.01,144.93,148.69,153.71,163.78,175.37,189.36,190.94,191.38
Ireland,134.55,136.28,138.34,141.65,148.81,155.10,159.07,161.89,166.47,168.52
Spain,128.56,127.55,128.12,131.15,133.92,135.58,139.05,141.71,144.15,142.99
France,117.80,119.27,120.15,122.12,126.11,127.52,128.60,130.83,134.34,133.73
Croatia,129.75,132.95,134.19,139.03,141.44,144.99,152.25,157.94,162.44,170.11
Italy,99.80,100.00,101.10,102.80,103.90,104.00,105.70,108.10,106.90,106.90
Cyprus,104.21,109.10,102.84,104.23,106.80,103.44,103.95,106.35,112.51,108.03
Latvia,147.08,147.92,149.97,159.51,165.31,171.79,176.06,185.56,187.79,187.44
Lithuania,140.85,146.35,153.69,158.87,167.44,175.36,183.12,193.91,199.70,203.46
Luxembourg,152.97,160.08,167.17,168.74,173.22,179.48,184.34,188.40,192.30,189.53
Hungary,181.59,179.08,195.95,204.40,211.94,219.86,241.42,255.23,261.44,256.24
Malta,129.81,133.01,130.82,134.42,137.52,138.99,139.69,144.63,146.23,147.24
Netherlands,144.59,147.44,153.34,159.47,168.82,175.20,182.98,188.33,189.33,184.42
Austria,138.71,139.66,144.70,150.95,156.26,161.14,165.94,169.47,174.91,173.86
Poland,137.06,138.42,141.16,145.50,149.28,155.15,160.30,163.50,167.38,169.64
Portugal,153.61,157.69,161.70,166.40,171.30,175.96,182.64,188.31,193.82,195.91
Romania,126.38,127.97,131.45,133.61,133.78,137.51,139.82,144.94,143.20,146.83
Slovenia,135.65,138.43,142.65,149.21,153.15,160.26,166.78,172.56,176.67,178.41
Slovakia,145.93,147.53,145.81,150.57,157.66,163.28,166.46,175.62,180.61,179.18
Finland,105.79,106.95,108.57,111.18,110.92,111.12,112.23,113.81,112.41,108.56
Sweden,122.95,124.99,128.90,133.44,136.89,138.62,142.19,142.86,138.46,133.49
Iceland,159.19,162.62,166.26,174.99,180.92,188.09,196.06,211.23,224.47,227.61
Norway,128.18,128.54,134.20,138.47,139.48,138.48,144.62,147.68,147.93,142.62
Switzerland,0,0,0,0,0,0,0,0,0,0
United Kingdom,121.15,0,0,0,0,0,0,0,0,0
Türkiye,181.80,191.90,205.10,223.40,246.50,306.60,430.80,582.40,712.50,821.20
