year,quarter,real,aggregated,value
2020,3,None,0,127.09
2020,3,None,1,127.77
2020,3,None,2,0.0
2020,3,None,3,125.65
2020,3,None,4,125.68
2020,3,None,5,125.65
2020,3,0,None,119.62
2020,3,1,None,138.81
2020,3,2,None,155.4
2020,3,3,None,126.24
2020,3,None,6,140.3
2020,3,4,None,131.08
2020,3,5,None,134.55
2020,3,6,None,128.56
2020,3,7,None,117.8
2020,3,8,None,129.75
2020,3,9,None,99.8
2020,3,10,None,104.21
2020,3,11,None,147.08
2020,3,12,None,140.85
2020,3,13,None,152.97
2020,3,14,None,181.59
2020,3,15,None,129.81
2020,3,16,None,144.59
2020,3,17,None,138.71
2020,3,18,None,137.06
2020,3,19,None,153.61
2020,3,20,None,126.38
2020,3,21,None,135.65
2020,3,22,None,145.93
2020,3,23,None,105.79
2020,3,24,None,122.95
2020,3,25,None,159.19
2020,3,26,None,128.18
2020,3,27,None,0.0
2020,3,None,7,121.15
2020,3,28,None,181.8
2020,4,None,7,128.84
2020,4,None,7,129.53
2020,4,None,7,0.0
2020,4,None,7,127.41
2020,4,None,7,127.45
2020,4,None,7,127.41
2020,4,28,None,122.23
2020,4,28,None,141.23
2020,4,28,None,159.5
2020,4,28,None,128.98
2020,4,None,7,144.3
2020,4,28,None,136.01
2020,4,28,None,136.28
2020,4,28,None,127.55
2020,4,28,None,119.27
2020,4,28,None,132.95
2020,4,28,None,100.0
2020,4,28,None,109.1
2020,4,28,None,147.92
2020,4,28,None,146.35
2020,4,28,None,160.08
2020,4,28,None,179.08
2020,4,28,None,133.01
2020,4,28,None,147.44
2020,4,28,None,139.66
2020,4,28,None,138.42
2020,4,28,None,157.69
2020,4,28,None,127.97
2020,4,28,None,138.43
2020,4,28,None,147.53
2020,4,28,None,106.95
2020,4,28,None,124.99
2020,4,28,None,162.62
2020,4,28,None,128.54
2020,4,28,None,0.0
2020,4,None,7,0.0
2020,4,28,None,191.9
2021,1,None,7,131.2
2021,1,None,7,131.91
2021,1,None,7,0.0
2021,1,None,7,129.2
2021,1,None,7,129.24
2021,1,None,7,129.2
2021,1,28,None,123.49
2021,1,28,None,145.72
2021,1,28,None,168.9
2021,1,28,None,135.02
2021,1,None,7,146.3
2021,1,28,None,144.93
2021,1,28,None,138.34
2021,1,28,None,128.12
2021,1,28,None,120.15
2021,1,28,None,134.19
2021,1,28,None,101.1
2021,1,28,None,102.84
2021,1,28,None,149.97
2021,1,28,None,153.69
2021,1,28,None,167.17
2021,1,28,None,195.95
2021,1,28,None,130.82
2021,1,28,None,153.34
2021,1,28,None,144.7
2021,1,28,None,141.16
2021,1,28,None,161.7
2021,1,28,None,131.45
2021,1,28,None,142.65
2021,1,28,None,145.81
2021,1,28,None,108.57
2021,1,28,None,128.9
2021,1,28,None,166.26
2021,1,28,None,134.2
2021,1,28,None,0.0
2021,1,None,7,0.0
2021,1,28,None,205.1
2021,2,None,7,134.88
2021,2,None,7,135.6
2021,2,None,7,0.0
2021,2,None,7,132.72
2021,2,None,7,132.77
2021,2,None,7,132.72
2021,2,28,None,125.71
2021,2,28,None,146.23
2021,2,28,None,177.6
2021,2,28,None,138.87
2021,2,None,7,151.8
2021,2,28,None,148.69
2021,2,28,None,141.65
2021,2,28,None,131.15
2021,2,28,None,122.12
2021,2,28,None,139.03
2021,2,28,None,102.8
2021,2,28,None,104.23
2021,2,28,None,159.51
2021,2,28,None,158.87
2021,2,28,None,168.74
2021,2,28,None,204.4
2021,2,28,None,134.42
2021,2,28,None,159.47
2021,2,28,None,150.95
2021,2,28,None,145.5
2021,2,28,None,166.4
2021,2,28,None,133.61
2021,2,28,None,149.21
2021,2,28,None,150.57
2021,2,28,None,111.18
2021,2,28,None,133.44
2021,2,28,None,174.99
2021,2,28,None,138.47
2021,2,28,None,0.0
2021,2,None,7,0.0
2021,2,28,None,223.4
2021,3,None,7,139.09
2021,3,None,7,139.84
2021,3,None,7,0.0
2021,3,None,7,137.01
2021,3,None,7,137.05
2021,3,None,7,137.01
2021,3,28,None,129.42
2021,3,28,None,150.9
2021,3,28,None,189.8
2021,3,28,None,140.44
2021,3,None,7,158.2
2021,3,28,None,153.71
2021,3,28,None,148.81
2021,3,28,None,133.92
2021,3,28,None,126.11
2021,3,28,None,141.44
2021,3,28,None,103.9
2021,3,28,None,106.8
2021,3,28,None,165.31
2021,3,28,None,167.44
2021,3,28,None,173.22
2021,3,28,None,211.94
2021,3,28,None,137.52
2021,3,28,None,168.82
2021,3,28,None,156.26
2021,3,28,None,149.28
2021,3,28,None,171.3
2021,3,28,None,133.78
2021,3,28,None,153.15
2021,3,28,None,157.66
2021,3,28,None,110.92
2021,3,28,None,136.89
2021,3,28,None,180.92
2021,3,28,None,139.48
2021,3,28,None,0.0
2021,3,None,7,0.0
2021,3,28,None,246.5
2021,4,None,7,141.99
2021,4,None,7,142.75
2021,4,None,7,0.0
2021,4,None,7,139.57
2021,4,None,7,139.62
2021,4,None,7,139.57
2021,4,28,None,129.61
2021,4,28,None,154.48
2021,4,28,None,200.6
2021,4,28,None,137.57
2021,4,None,7,162.5
2021,4,28,None,163.78
