price,location_id_real,location_id_aggregated,year,quarter,is_real
131.85,0,,2020,1 ,true
115.49,1,,2020,1 ,true
135.54,2,,2020,1 ,true
109.13,3,,2020,1 ,true
149.0,4,,2020,1 ,true
133.8,5,,2020,1 ,true
118.36,6,,2020,1 ,true
122.01,7,,2020,1 ,true
122.01,,0,2020,1 ,false
122.06,,1,2020,1 ,false
135.98,8,,2020,1 ,true
126.92,9,,2020,1 ,true
123.49,10,,2020,1 ,true
124.15,,2,2020,1 ,false
104.28,11,,2020,1 ,true
113.87,12,,2020,1 ,true
128.25,13,,2020,1 ,true
178.74,14,,2020,1 ,true
134.3,15,,2020,1 ,true
153.05,16,,2020,1 ,true
99.4,17,,2020,1 ,true
137.26,18,,2020,1 ,true
142.67,19,,2020,1 ,true
145.77,20,,2020,1 ,true
125.06,21,,2020,1 ,true
137.84,22,,2020,1 ,true
122.18,23,,2020,1 ,true
131.66,24,,2020,1 ,true
151.67,25,,2020,1 ,true
129.62,26,,2020,1 ,true
120.2,27,,2020,1 ,true
132.99,28,,2020,1 ,true
143.02,29,,2020,1 ,true
155.4,30,,2020,1 ,true
117.52,31,,2020,1 ,true
1.6,31,,2020,1 ,true
-0.1,31,,2020,1 ,true
1.2,31,,2020,1 ,true
-0.8,32,,2020,1 ,true
2.5,32,,2020,1 ,true
1.8,32,,2020,1 ,true
0.8,32,,2020,1 ,true
1.7,32,,2020,1 ,true
1.1,32,,2020,1 ,true
1.1,,2,2020,1 ,false
1.1,,2,2020,1 ,false
4.8,32,,2020,1 ,true
1.2,32,,2020,1 ,true
1.4,32,,2020,1 ,true
1.4,,2,2020,1 ,false
1.0,32,,2020,1 ,true
1.0,32,,2020,1 ,true
2.7,32,,2020,1 ,true
4.0,32,,2020,1 ,true
-0.8,32,,2020,1 ,true
0.9,32,,2020,1 ,true
0.9,32,,2020,1 ,true
2.6,32,,2020,1 ,true
4.0,32,,2020,1 ,true
0.7,32,,2020,1 ,true
-4.4,32,,2020,1 ,true
1.7,32,,2020,1 ,true
1.8,32,,2020,1 ,true
3.6,32,,2020,1 ,true
3.8,32,,2020,1 ,true
3.3,32,,2020,1 ,true
1.2,32,,2020,1 ,true
1.0,32,,2020,1 ,true
4.0,32,,2020,1 ,true
5.6,32,,2020,1 ,true
0.0,32,,2020,1 ,true
7.7,32,,2020,1 ,true
3.5,32,,2020,1 ,true
4.7,32,,2020,1 ,true
1.6,32,,2020,1 ,true
1.1,32,,2020,1 ,true
8.6,32,,2020,1 ,true
7.4,32,,2020,1 ,true
2.0,32,,2020,1 ,true
5.2,32,,2020,1 ,true
5.2,,2,2020,1 ,false
5.2,,2,2020,1 ,false
11.5,32,,2020,1 ,true
3.3,32,,2020,1 ,true
5.4,32,,2020,1 ,true
5.7,,2,2020,1 ,false
1.2,32,,2020,1 ,true
4.9,32,,2020,1 ,true
9.1,32,,2020,1 ,true
8.3,32,,2020,1 ,true
1.0,32,,2020,1 ,true
4.7,32,,2020,1 ,true
1.7,32,,2020,1 ,true
6.2,32,,2020,1 ,true
14.1,32,,2020,1 ,true
8.8,32,,2020,1 ,true
5.5,32,,2020,1 ,true
6.3,32,,2020,1 ,true
3.1,32,,2020,1 ,true
11.3,32,,2020,1 ,true
10.6,32,,2020,1 ,true
8.1,32,,2020,1 ,true
4.5,32,,2020,1 ,true
4.7,32,,2020,1 ,true
13.1,32,,2020,1 ,true
15.0,32,,2020,1 ,true
2.0,32,,2020,1 ,true
135.02,0,,2020,2 ,true
117.04,1,,2020,2 ,true
134.07,2,,2020,2 ,true
109.48,3,,2020,2 ,true
151.5,4,,2020,2 ,true
136.2,5,,2020,2 ,true
120.35,6,,2020,2 ,true
123.99,7,,2020,2 ,true
123.99,,0,2020,2 ,false
124.04,,1,2020,2 ,false
128.1,8,,2020,2 ,true
126.98,9,,2020,2 ,true
125.32,10,,2020,2 ,true
125.99,,2,2020,2 ,false
105.36,11,,2020,2 ,true
115.52,12,,2020,2 ,true
130.57,13,,2020,2 ,true
174.9,14,,2020,2 ,true
134.15,15,,2020,2 ,true
156.3,16,,2020,2 ,true
102.4,17,,2020,2 ,true
140.25,18,,2020,2 ,true
148.74,19,,2020,2 ,true
142.3,20,,2020,2 ,true
127.57,21,,2020,2 ,true
141.11,22,,2020,2 ,true
125.53,23,,2020,2 ,true
134.31,24,,2020,2 ,true
154.34,25,,2020,2 ,true
129.77,26,,2020,2 ,true
120.3,27,,2020,2 ,true
135.56,28,,2020,2 ,true
143.75,29,,2020,2 ,true
172.9,30,,2020,2 ,true
117.58,31,,2020,2 ,true
2.4,31,,2020,2 ,true
1.3,31,,2020,2 ,true
-1.1,31,,2020,2 ,true
1.4,32,,2020,2 ,true
0.3,32,,2020,2 ,true
1.7,32,,2020,2 ,true
1.8,32,,2020,2 ,true
1.7,32,,2020,2 ,true
1.6,32,,2020,2 ,true
1.6,,2,2020,2 ,false
1.6,,2,2020,2 ,false
-5.8,32,,2020,2 ,true
0.0,32,,2020,2 ,true
1.5,32,,2020,2 ,true
1.5,,2,2020,2 ,false
1.0,32,,2020,2 ,true
1.4,32,,2020,2 ,true
1.8,32,,2020,2 ,true
-2.1,32,,2020,2 ,true
-0.1,32,,2020,2 ,true
2.1,32,,2020,2 ,true
3.0,32,,2020,2 ,true
2.2,32,,2020,2 ,true
4.3,32,,2020,2 ,true
-2.4,32,,2020,2 ,true
2.0,32,,2020,2 ,true
2.4,32,,2020,2 ,true
2.7,32,,2020,2 ,true
2.0,32,,2020,2 ,true
1.8,32,,2020,2 ,true
0.1,32,,2020,2 ,true
0.1,32,,2020,2 ,true
1.9,32,,2020,2 ,true
0.5,32,,2020,2 ,true
11.3,32,,2020,2 ,true
0.1,32,,2020,2 ,true
6.8,32,,2020,2 ,true
4.5,32,,2020,2 ,true
2.9,32,,2020,2 ,true
2.5,32,,2020,2 ,true
-2.9,32,,2020,2 ,true
7.8,32,,2020,2 ,true
6.6,32,,2020,2 ,true
1.4,32,,2020,2 ,true
5.0,32,,2020,2 ,true
5.0,,2,2020,2 ,false
5.0,,2,2020,2 ,false
4.0,32,,2020,2 ,true
2.2,32,,2020,2 ,true
5.2,32,,2020,2 ,true
5.3,,2,2020,2 ,false
0.6,32,,2020,2 ,true
5.2,32,,2020,2 ,true
8.3,32,,2020,2 ,true
2.6,32,,2020,2 ,true
0.3,32,,2020,2 ,true
6.2,32,,2020,2 ,true
3.3,32,,2020,2 ,true
7.0,32,,2020,2 ,true
13.2,32,,2020,2 ,true
1.5,32,,2020,2 ,true
3.9,32,,2020,2 ,true
7.1,32,,2020,2 ,true
3.2,32,,2020,2 ,true
10.9,32,,2020,2 ,true
9.7,32,,2020,2 ,true
6.6,32,,2020,2 ,true
3.3,32,,2020,2 ,true
5.2,32,,2020,2 ,true
9.7,32,,2020,2 ,true
25.7,32,,2020,2 ,true
1.4,32,,2020,2 ,true
138.71,0,,2020,3 ,true
119.62,1,,2020,3 ,true
