indic,unit,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
TOTAL,I15_NSA,AT	131.85 	135.02 	138.71 	139.66 	144.70 	150.95 	156.26 	161.14 	165.94 	169.47 	174.91 	173.86 p
TOTAL,I15_NSA,BE	115.49 	117.04 	119.62 	122.23 	123.49 	125.71 	129.42 	129.61 	131.47 	133.17 	136.33 	135.76 p
TOTAL,I15_NSA,BG	135.54 	134.07 	138.81 	141.23 	145.72 	146.23 	150.90 	154.48 	162.52 b	167.58 	174.43 	175.14 p
TOTAL,I15_NSA,CY	109.13 	109.48 	104.21 	109.10 	102.84 	104.23 	106.80 	103.44 	103.95 	106.35 	112.51 	108.03 
TOTAL,I15_NSA,CZ	149.00 	151.50 	155.40 	159.50 	168.90 	177.60 	189.80 	200.60 	210.00 	217.20 	219.40 	214.50 
TOTAL,I15_NSA,DE	133.80 	136.20 	140.30 	144.30 	146.30 	151.80 	158.20 	162.50 	163.20 p	166.60 p	165.00 p	156.70 p
TOTAL,I15_NSA,DK	118.36 	120.35 	126.24 	128.98 	135.02 	138.87 	140.44 	137.57 	140.64 	142.51 	137.48 	128.58 p
TOTAL,I15_NSA,EA	122.01 	123.99 	125.65 	127.41 	129.20 	132.72 	137.01 	139.57 	141.81 	144.91 	146.07 	143.57 
TOTAL,I15_NSA,EA19	122.01 	123.99 	125.65 	127.41 	129.20 	132.72 	137.01 	139.57 	141.81 	144.91 	146.07 	143.57 
TOTAL,I15_NSA,EA20	122.06 	124.04 	125.68 	127.45 	129.24 	132.77 	137.05 	139.62 	141.89 	145.01 	146.19 	143.76 
TOTAL,I15_NSA,EE	135.98 	128.10 	131.08 	136.01 	144.93 	148.69 	153.71 	163.78 	175.37 	189.36 	190.94 	191.38 
TOTAL,I15_NSA,ES	126.92 	126.98 	128.56 	127.55 	128.12 	131.15 	133.92 	135.58 	139.05 	141.71 	144.15 	142.99 
TOTAL,I15_NSA,EU	123.49 	125.32 	127.09 	128.84 	131.20 	134.88 	139.09 	141.99 	144.84 	148.12 	149.20 	147.03 
TOTAL,I15_NSA,EU27_2020	124.15 	125.99 	127.77 	129.53 	131.91 	135.60 	139.84 	142.75 	145.62 	148.91 	150.00 	147.82 
TOTAL,I15_NSA,FI	104.28 	105.36 	105.79 	106.95 	108.57 	111.18 	110.92 	111.12 	112.23 	113.81 	112.41 	108.56 p
TOTAL,I15_NSA,FR	113.87 	115.52 	117.80 	119.27 	120.15 	122.12 	126.11 	127.52 	128.60 	130.83 	134.34 p	133.73 p
TOTAL,I15_NSA,HR	128.25 	130.57 	129.75 	132.95 	134.19 	139.03 	141.44 	144.99 	152.25 	157.94 	162.44 	170.11 
TOTAL,I15_NSA,HU	178.74 	174.90 	181.59 	179.08 	195.95 	204.40 	211.94 	219.86 	241.42 p	255.23 p	261.44 p	256.24 p
TOTAL,I15_NSA,IE	134.30 	134.15 	134.55 	136.28 	138.34 	141.65 	148.81 	155.10 	159.07 	161.89 	166.47 	168.52 p
TOTAL,I15_NSA,IS	153.05 	156.30 	159.19 	162.62 	166.26 	174.99 	180.92 	188.09 	196.06 	211.23 	224.47 	227.61 
TOTAL,I15_NSA,IT	99.40 	102.40 	99.80 	100.00 	101.10 	102.80 	103.90 	104.00 	105.70 	108.10 	106.90 	106.90 p
