ratio,location_id_real,location_id_aggregated,year,quarter,is_real
2.9,0,,2020,1 ,true
3.2,1,,2020,1 ,true
0.7,2,,2020,1 ,true
1.3,3,,2020,1 ,true
2.0,4,,2020,1 ,true
5.7,5,,2020,1 ,true
2.9,6,,2020,1 ,true
1.9,7,,2020,1 ,true
2.0,,0,2020,1 ,false
2.0,,1,2020,1 ,false
1.4,8,,2020,1 ,true
0.4,9,,2020,1 ,true
0.7,10,,2020,1 ,true
1.9,11,,2020,1 ,true
2.0,,2,2020,1 ,false
1.9,,3,2020,1 ,false
2.8,12,,2020,1 ,true
1.5,13,,2020,1 ,true
1.9,14,,2020,1 ,true
0.8,15,,2020,1 ,true
1.4,16,,2020,1 ,true
0.8,17,,2020,1 ,true
1.1,18,,2020,1 ,true
1.7,19,,2020,1 ,true
2.1,20,,2020,1 ,true
1.8,21,,2020,1 ,true
1.4,22,,2020,1 ,true
2.6,23,,2020,1 ,true
2.5,24,,2020,1 ,true
0.6,25,,2020,1 ,true
0.6,26,,2020,1 ,true
0.9,27,,2020,1 ,true
2.7,28,,2020,1 ,true
2.2,29,,2020,1 ,true
0.9,30,,2020,1 ,true
2.4,31,,2020,1 ,true
118968.0,31,,2020,1 ,true
129170.0,31,,2020,1 ,true
14984.0,31,,2020,1 ,true
69930.0,31,,2020,1 ,true
7177.0,31,,2020,1 ,true
264952.0,31,,2020,1 ,true
1210251.0,31,,2020,1 ,true
,31,,2020,1 ,true
,,3,2020,1 ,false
,,3,2020,1 ,false
,31,,2020,1 ,true
9617.0,31,,2020,1 ,true
103004.0,31,,2020,1 ,true
,31,,2020,1 ,true
,,3,2020,1 ,false
,,3,2020,1 ,false
62068.0,31,,2020,1 ,true
17756.0,31,,2020,1 ,true
57589.0,31,,2020,1 ,true
14700.0,31,,2020,1 ,true
2820.0,31,,2020,1 ,true
,31,,2020,1 ,true
14816.0,31,,2020,1 ,true
7836.0,31,,2020,1 ,true
18537.0,31,,2020,1 ,true
9075.0,31,,2020,1 ,true
3507.0,31,,2020,1 ,true
219400.0,31,,2020,1 ,true
70978.0,31,,2020,1 ,true
76131.0,31,,2020,1 ,true
19856.0,31,,2020,1 ,true
41304.0,31,,2020,1 ,true
130441.0,31,,2020,1 ,true
18092.0,31,,2020,1 ,true
18106.0,31,,2020,1 ,true
770000.0,31,,2020,1 ,true
2.2,0,,2020,2 ,true
3.0,1,,2020,2 ,true
0.8,2,,2020,2 ,true
1.2,3,,2020,2 ,true
1.2,4,,2020,2 ,true
5.4,5,,2020,2 ,true
2.0,6,,2020,2 ,true
1.6,7,,2020,2 ,true
1.6,,0,2020,2 ,false
1.6,,1,2020,2 ,false
1.3,8,,2020,2 ,true
0.3,9,,2020,2 ,true
0.5,10,,2020,2 ,true
,11,,2020,2 ,true
,,2,2020,2 ,false
1.6,,3,2020,2 ,false
1.5,12,,2020,2 ,true
0.8,13,,2020,2 ,true
2.0,14,,2020,2 ,true
0.8,15,,2020,2 ,true
1.2,16,,2020,2 ,true
1.0,17,,2020,2 ,true
1.3,18,,2020,2 ,true
1.4,19,,2020,2 ,true
2.4,20,,2020,2 ,true
1.4,21,,2020,2 ,true
1.5,22,,2020,2 ,true
2.4,23,,2020,2 ,true
2.2,24,,2020,2 ,true
0.7,25,,2020,2 ,true
0.7,26,,2020,2 ,true
0.7,27,,2020,2 ,true
1.8,28,,2020,2 ,true
1.4,29,,2020,2 ,true
0.8,30,,2020,2 ,true
1.1,31,,2020,2 ,true
84806.0,31,,2020,2 ,true
120949.0,31,,2020,2 ,true
18491.0,31,,2020,2 ,true
61454.0,31,,2020,2 ,true
4172.0,31,,2020,2 ,true
245395.0,31,,2020,2 ,true
832388.0,31,,2020,2 ,true
,31,,2020,2 ,true
,,3,2020,2 ,false
,,3,2020,2 ,false
7838.0,31,,2020,2 ,true
5594.0,31,,2020,2 ,true
74348.0,31,,2020,2 ,true
,31,,2020,2 ,true
,,3,2020,2 ,false
,,3,2020,2 ,false
35321.0,31,,2020,2 ,true
9206.0,31,,2020,2 ,true
59015.0,31,,2020,2 ,true
13700.0,31,,2020,2 ,true
2480.0,31,,2020,2 ,true
,31,,2020,2 ,true
17057.0,31,,2020,2 ,true
6037.0,31,,2020,2 ,true
20712.0,31,,2020,2 ,true
6866.0,31,,2020,2 ,true
3643.0,31,,2020,2 ,true
198100.0,31,,2020,2 ,true
59585.0,31,,2020,2 ,true
80976.0,31,,2020,2 ,true
23797.0,31,,2020,2 ,true
33745.0,31,,2020,2 ,true
85570.0,31,,2020,2 ,true
10853.0,31,,2020,2 ,true
15581.0,31,,2020,2 ,true
346000.0,31,,2020,2 ,true
2.5,0,,2020,3 ,true
3.3,1,,2020,3 ,true
0.8,2,,2020,3 ,true
1.3,3,,2020,3 ,true
1.7,4,,2020,3 ,true
5.3,5,,2020,3 ,true
2.4,6,,2020,3 ,true
1.7,7,,2020,3 ,true
1.7,,0,2020,3 ,false
1.7,,1,2020,3 ,false
1.5,8,,2020,3 ,true
0.5,9,,2020,3 ,true
0.6,10,,2020,3 ,true
,11,,2020,3 ,true
,,2,2020,3 ,false
1.7,,3,2020,3 ,false
2.0,12,,2020,3 ,true
1.2,13,,2020,3 ,true
2.1,14,,2020,3 ,true
0.8,15,,2020,3 ,true
1.4,16,,2020,3 ,true
0.9,17,,2020,3 ,true
1.4,18,,2020,3 ,true
1.5,19,,2020,3 ,true
2.3,20,,2020,3 ,true
1.7,21,,2020,3 ,true
1.9,22,,2020,3 ,true
2.5,23,,2020,3 ,true
2.1,24,,2020,3 ,true
0.7,25,,2020,3 ,true
0.7,26,,2020,3 ,true
0.8,27,,2020,3 ,true
1.4,28,,2020,3 ,true
1.8,29,,2020,3 ,true
0.8,30,,2020,3 ,true
1.6,31,,2020,3 ,true
99866.0,31,,2020,3 ,true
131378.0,31,,2020,3 ,true
18418.0,31,,2020,3 ,true
68014.0,31,,2020,3 ,true
6554.0,31,,2020,3 ,true
239285.0,31,,2020,3 ,true
956435.0,31,,2020,3 ,true
,31,,2020,3 ,true
,,3,2020,3 ,false
,,3,2020,3 ,false
,31,,2020,3 ,true
9685.0,31,,2020,3 ,true
86750.0,31,,2020,3 ,true
,31,,2020,3 ,true
,,3,2020,3 ,false
,,3,2020,3 ,false
42863.0,31,,2020,3 ,true
14721.0,31,,2020,3 ,true
62674.0,31,,2020,3 ,true
16100.0,31,,2020,3 ,true
2910.0,31,,2020,3 ,true
,31,,2020,3 ,true
18178.0,31,,2020,3 ,true
6689.0,31,,2020,3 ,true
20639.0,31,,2020,3 ,true
8364.0,31,,2020,3 ,true
4802.0,31,,2020,3 ,true
213200.0,31,,2020,3 ,true
59096.0,31,,2020,3 ,true
90674.0,31,,2020,3 ,true
24607.0,31,,2020,3 ,true
38822.0,31,,2020,3 ,true
66652.0,31,,2020,3 ,true
13767.0,31,,2020,3 ,true
15893.0,31,,2020,3 ,true
498000.0,31,,2020,3 ,true
2.6,0,,2020,4 ,true
2.9,1,,2020,4 ,true
0.7,2,,2020,4 ,true
1.3,3,,2020,4 ,true
1.3,4,,2020,4 ,true
5.0,5,,2020,4 ,true
2.8,6,,2020,4 ,true
,7,,2020,4 ,true
1.8,,0,2020,4 ,false
1.8,,1,2020,4 ,false
1.5,8,,2020,4 ,true
0.3,9,,2020,4 ,true
0.5,10,,2020,4 ,true
,11,,2020,4 ,true
,,2,2020,4 ,false
1.8,,3,2020,4 ,false
1.5,12,,2020,4 ,true
1.0,13,,2020,4 ,true
2.0,14,,2020,4 ,true
0.9,15,,2020,4 ,true
1.4,16,,2020,4 ,true
0.8,17,,2020,4 ,true
1.2,18,,2020,4 ,true
1.5,19,,2020,4 ,true
1.9,20,,2020,4 ,true
1.6,21,,2020,4 ,true
1.7,22,,2020,4 ,true
