s_adj,nace_r2,sizeclas,indic_em,geo\time	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 	2022Q3 	2022Q4 
NSA,B-S,TOTAL,JOBRATE,AT	2.9 	2.2 	2.5 	2.6 	2.8 	3.4 	3.8 	4.0 	4.7 	4.8 	5.0 	4.6 
NSA,B-S,TOTAL,JOBRATE,BE	3.2 	3.0 	3.3 	2.9 	3.5 	4.2 	4.7 	4.7 	4.8 	5.0 	4.9 	4.5 
NSA,B-S,TOTAL,JOBRATE,BG	0.7 	0.8 	0.8 	0.7 	0.8 p	0.8 p	0.8 p	0.7 p	0.9 p	0.9 p	0.8 p	0.8 p
NSA,B-S,TOTAL,JOBRATE,CH	1.3 	1.2 	1.3 	1.3 	1.4 	1.7 	1.8 	1.9 	2.2 	2.3 	2.3 	2.2 
NSA,B-S,TOTAL,JOBRATE,CY	2.0 	1.2 	1.7 	1.3 	2.0 	2.6 	2.4 	2.4 	3.2 	2.7 	2.2 	1.9 
NSA,B-S,TOTAL,JOBRATE,CZ	5.7 	5.4 	5.3 	5.0 	5.0 	4.9 	5.1 	4.9 	5.3 	4.9 	4.5 	4.2 
NSA,B-S,TOTAL,JOBRATE,DE	2.9 	2.0 	2.4 	2.8 	2.9 	2.9 	3.3 	3.9 	4.1 	4.5 	4.3 	4.4 
NSA,B-S,TOTAL,JOBRATE,EA	1.9 	1.6 	1.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBRATE,EA19	2.0 	1.6 	1.7 	1.8 	2.1 	2.3 	2.6 	2.8 	3.1 	3.2 	3.1 	3.1 
NSA,B-S,TOTAL,JOBRATE,EA20	2.0 	1.6 	1.7 	1.8 	2.1 	2.3 	2.5 	2.8 	3.1 	3.2 	3.1 	3.1 
NSA,B-S,TOTAL,JOBRATE,EE	1.4 	1.3 	1.5 	1.5 	1.5 	1.7 	1.9 	1.8 	2.1 	2.1 	2.1 	1.8 
NSA,B-S,TOTAL,JOBRATE,EL	0.4 	0.3 	0.5 	0.3 	0.3 	0.6 	0.7 	0.7 	0.8 	1.2 	1.1 	0.9 
NSA,B-S,TOTAL,JOBRATE,ES	0.7 	0.5 	0.6 	0.5 	0.7 	0.8 	0.8 	0.7 	0.9 	0.9 	0.9 	0.9 p
NSA,B-S,TOTAL,JOBRATE,EU	1.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBRATE,EU27_2007	2.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBRATE,EU27_2020	1.9 	1.6 	1.7 	1.8 	2.0 	2.2 	2.4 	2.6 	2.9 	3.0 	2.9 	2.8 
NSA,B-S,TOTAL,JOBRATE,FI	2.8 	1.5 	2.0 	1.5 	2.7 	2.2 	2.8 	2.5 	3.9 	3.0 	2.5 	2.0 
NSA,B-S,TOTAL,JOBRATE,HR	1.5 	0.8 	1.2 	1.0 	1.5 	1.7 	1.6 	1.5 	2.1 	1.7 	1.3 	1.4 
NSA,B-S,TOTAL,JOBRATE,HU	1.9 p	2.0 p	2.1 p	2.0 p	2.0 p	2.3 p	2.5 p	2.5 p	2.7 p	3.0 p	2.8 p	2.5 p
NSA,B-S,TOTAL,JOBRATE,IE	0.8 	0.8 	0.8 	0.9 	1.0 	1.2 	1.5 	1.4 	1.6 	1.6 	1.6 	1.3 p
NSA,B-S,TOTAL,JOBRATE,IS	1.4 	1.2 	1.4 	1.4 	2.2 	4.2 	3.8 	2.5 	3.5 	5.3 	3.7 	2.6 
NSA,B-S,TOTAL,JOBRATE,IT	0.8 	1.0 	0.9 	0.8 	1.6 	1.9 	1.9 	1.7 	2.4 p	2.3 p	2.0 p	1.9 p
NSA,B-S,TOTAL,JOBRATE,LT	1.1 	1.3 	1.4 	1.2 	1.6 	1.9 	2.0 	1.8 	2.0 	2.0 	1.9 	1.7 
NSA,B-S,TOTAL,JOBRATE,LU	1.7 	1.4 	1.5 	1.5 	1.6 	1.9 	2.1 	2.2 	2.3 	2.7 	2.7 	2.4 
NSA,B-S,TOTAL,JOBRATE,LV	2.1 	2.4 	2.3 	1.9 	2.4 	2.8 	2.7 	3.0 	3.2 	2.9 	2.9 	2.5 
NSA,B-S,TOTAL,JOBRATE,MK	1.8 	1.4 	1.7 	1.6 	1.6 	1.8 	1.7 	1.6 	1.8 	1.6 	2.1 	1.9 
NSA,B-S,TOTAL,JOBRATE,MT	1.4 p	1.5 p	1.9 p	1.7 p	1.4 p	2.4 p	2.6 p	2.3 p	2.6 b	2.7 p	2.7 p	2.4 p
NSA,B-S,TOTAL,JOBRATE,NL	2.6 p	2.4 p	2.5 p	2.5 p	3.0 p	3.8 p	4.2 p	4.2 p	4.9 p	5.1 p	4.9 p	4.5 p
NSA,B-S,TOTAL,JOBRATE,NO	2.5 	2.2 	2.1 	2.1 	2.6 	3.5 	3.0 	2.8 	3.5 	3.8 	3.1 	3.4 
NSA,B-S,TOTAL,JOBRATE,PL	0.6 	0.7 	0.7 	0.7 	0.9 	1.2 	1.2 	1.1 	1.3 	1.2 	1.1 	0.9 
NSA,B-S,TOTAL,JOBRATE,PT	0.6 	0.7 	0.7 	0.7 	0.8 	1.0 	1.2 	1.0 	1.3 	1.4 	1.7 	1.5 
NSA,B-S,TOTAL,JOBRATE,RO	0.9 	0.7 	0.8 	0.7 	0.8 	0.8 	1.0 	0.9 	1.0 	0.9 	0.9 	0.8 
NSA,B-S,TOTAL,JOBRATE,SE	2.7 	1.8 	1.4 	1.6 	2.3 	2.6 	2.2 	2.5 	3.6 	3.6 	2.7 	2.6 
NSA,B-S,TOTAL,JOBRATE,SI	2.2 	1.4 	1.8 	1.5 	2.2 	2.7 	2.8 	2.5 	3.2 	3.3 	3.1 	2.5 
NSA,B-S,TOTAL,JOBRATE,SK	0.9 	0.8 	0.8 	0.7 	0.8 	0.9 	0.9 	0.9 	1.1 	1.0 	1.1 	1.0 
NSA,B-S,TOTAL,JOBRATE,UK	2.4 	1.1 	1.6 p	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBVAC,AT	118968 	84806 	99866 	106651 	111830 	138563 	162443 	171385 	202711 	206280 	218114 	198776 
NSA,B-S,TOTAL,JOBVAC,BE	129170 	120949 	131378 	115553 	141565 	172437 	196227 	196140 	205877 	213822 	210778 	189271 
NSA,B-S,TOTAL,JOBVAC,BG	14984 	18491 	18418 	14945 	17358 p	18652 p	17583 p	16174 p	20007 p	20796 p	18164 p	16935 p
NSA,B-S,TOTAL,JOBVAC,CH	69930 	61454 	68014 	66650 	72514 	87657 	98101 	103087 	119551 	127557 	124175 	121782 
NSA,B-S,TOTAL,JOBVAC,CY	7177 	4172 	6554 	4964 	6761 	7397 	6358 	9643 	12874 	11113 	9174 	7821 
NSA,B-S,TOTAL,JOBVAC,CZ	264952 	245395 	239285 	224884 	225629 	223059 	234264 	226602 	238953 	222493 	202264 	187893 
NSA,B-S,TOTAL,JOBVAC,DE	1210251 	832388 	956435 	1168149 	1176089 	1156165 	1366009 	1674028 	1723388 	1910221 	1811820 	1968516 
NSA,B-S,TOTAL,JOBVAC,EA	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBVAC,EA19	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
NSA,B-S,TOTAL,JOBVAC,EA20	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
NSA,B-S,TOTAL,JOBVAC,EE	: c	7838 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
NSA,B-S,TOTAL,JOBVAC,EL	9617 	5594 	9685 	7382 	6685 	12181 	15125 	14713 	16603 	27246 	24324 	20927 
NSA,B-S,TOTAL,JOBVAC,ES	103004 	74348 	86750 	76008 	100040 	119213 	118887 	109085 	133990 	145054 	143877 	140517 p
NSA,B-S,TOTAL,JOBVAC,EU	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBVAC,EU27_2007	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NSA,B-S,TOTAL,JOBVAC,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
NSA,B-S,TOTAL,JOBVAC,FI	62068 	35321 	42863 	33359 	58919 	50947 	62295 	58434 	90467 	70857 	58936 	49709 
